"aa_id"|"event"|"lastupdate"|"staffid"|"remarks"|"email_sent"
"S038559"|"TOP SCHOOLS WEEKEND 2019"|"20190904150834"|"AA00007"|""|"N"
"S038468"|"UK EDUCATION EXPO (OCT 2019)"|"20191019122003"|"30012"|""|"N"
"S037953"|"TOP SCHOOLS WEEKEND 2019"|"20190909111613"|"AA00098"|"20190909: cfmed attend (by phone)
TB, BRI, AB, CHARTERHOUSE"|"N"
"S037651"|"UK EDUCATION EXPO (FEB 2019)"|"20190705152703"|"AA00073"|"Std has registered with Cheltenham.   Arrange interview.

Also has reg with Bedford but doesn't like sch after sch visit.  TNFA, but check with p again closer to Oct Expo."|"N"
"S038237"|"TOP SCHOOLS WEEKEND 2019"|"20190622163205"|"AA00073"|"Apply to Radley."|"N"
"S038123"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190622164512"|"AA00079"|""|"N"
"S037127"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190622164512"|"AA00079"|""|"N"
"S037874"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190622164512"|"AA00079"|""|"N"
"S038143"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190622164512"|"AA00079"|""|"N"
"S037930"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190622164512"|"AA00079"|""|"N"
"S036952"|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190622164512"|"AA00079"|""|"N"
"S035631"|"TOP SCHOOLS WEEKEND 2019"|"20190801180518"|"AA00073"|"Headington, Badminton, King's, Brighton, Uppingham, Lancing."|"N"
"S038585"|"TOP SCHOOLS WEEKEND 2019"|"20190909154128"|"AA00073"|""|"N"
"S034361"|"TOP SCHOOLS WEEKEND 2019"|"20190911203407"|"AA00007"|"20190911: ed sch"|"N"
"S034411"|"TOP SCHOOLS WEEKEND 2019"|"20190921170652"|"AA00083"|""|"N"
"S038652"|"TOP SCHOOLS WEEKEND 2019"|"20190912160350"|"AA00084"|""|"N"
"S038420"|"TOP SCHOOLS WEEKEND 2019"|"20190918003459"|"AA00007"|"20190917: ed sche"|"N"
