"aa_id"|"school_id"|"depositdate"|"amount"|"discount"|"lastupdate"|"staffid"|"remarks"|"commission"
"S036749"|452|"20180226"|500|""|"20180226175153"|""|"Balance of payment due on 13/5/2018"|"Y"
"S036392"|575|"20180226"|9000|""|"20180226185843"|""|""|"Y"
"S036728"|452|"20180227"|500|""|"20180227095801"|""|""|"Y"
"S033491"|384|"20180227"|13550|""|"20180227111018"|""|""|"Y"
"S036776"|597|"20180227"|8000|""|"20180227135133"|""|""|"Y"
"S036248"|20|"20180227"|9753|""|"20180227151204"|""|""|"Y"
"S033313"|130|"20180227"|12000|""|"20180227174830"|""|""|"Y"
"S036171"|597|"20180227"|8000|""|"20180227184034"|""|""|"Y"
"S036495"|185|"20180228"|9941|""|"20180228122153"|""|""|"Y"
"S035890"|6|"20180301"|15000|""|"20180301100906"|""|""|"Y"
"S031560"|475|"20180301"|2500|""|"20180301174556"|""|""|"Y"
"S035693"|172|"20180302"|2680|""|"20180302155440"|""|""|"Y"
"S036767"|554|"20180302"|2000|""|"20180302180832"|""|""|"Y"
"S030998"|50|"20180303"|9500|""|"20180303111511"|""|""|"Y"
"S036477"|674|"20180303"|500|""|"20180303113948"|""|""|"Y"
"S033019"|50|"20180305"|9500|""|"20180305100904"|""|""|"Y"
"S035265"|278|"20180306"|1500|""|"20180306150152"|""|""|"Y"
"S033760"|251|"20180306"|10557|""|"20180306153526"|""|""|"Y"
"S036523"|17|"20180306"|5400|""|"20180306154325"|""|""|"Y"
"S036259"|7|"20180307"|14750|""|"20180307101351"|""|""|"Y"
"S036558"|660|"20180307"|500|""|"20180307115134"|""|""|"Y"
"S036764"|577|"20180307"|4000|""|"20180307180925"|""|""|"Y"
"S036168"|76|"20180308"|11900|""|"20180308105742"|""|""|"Y"
"S034725"|7|"20190213"|14750|""|"20190213213830"|""|""|"Y"
"S035585"|110|"20180308"|12225|""|"20180308150842"|"AA00054"|""|"Y"
"S036686"|3|"20180202"|1425|""|"20180308150900"|"AA00073"|"deposited 50% of total fee GBP2850 via TT.

School confirmed receipt of payment on 6 March."|"Y"
"S035193"|30000|"20190214"|1000|""|"20190214233156"|""|""|"Y"
"S036831"|3|"20180314"|950|""|"20180314110040"|""|""|"Y"
"S036733"|172|"20180309"|500|""|"20180309102310"|""|""|"Y"
"S036836"|55|"20180309"|1200|""|"20180309155231"|""|""|"Y"
"S034946"|30000|"20180312"|1000|""|"20180312102158"|""|""|"Y"
"S035023"|12|"20180312"|12988|""|"20180312153545"|""|""|"Y"
