"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
41|"2018"|"A* - B"|"64"|"20181009144214"|"AA00078"|""|"A Level"
41|"2018"|"A* - C"|"83"|"20181009144236"|"AA00078"|""|"A Level"
50|"2018"|"A* - A"|"35.2"|"20181009145211"|"AA00078"|"IB & AL combined: 59%"|"A Level"
214|"2020"|"A*"|"11"|"20200814095402"|"AA00078"|""|"A Level"
322|"2018"|"A*"|"21"|"20181019103845"|"AA00078"|""|"A Level"
85|"2020"|"A* - C(4-9)"|"98.2"|"20201022141225"|"AA00078"|""|"GCSE"
50|"2018"|""|"35"|"20181009145328"|"AA00078"|""|"IB"
50|"2018"|"A*(8-9)"|"43.7"|"20181009145350"|"AA00078"|""|"GCSE"
50|"2018"|"A* - A(7-9)"|"68.3"|"20181009145403"|"AA00078"|""|"GCSE"
50|"2018"|"A* - B"|"86.3"|"20181009145500"|"AA00078"|""|"GCSE"
50|"2018"|"A* - C(4-9)"|"96.2"|"20181009145607"|"AA00078"|""|"GCSE"
12|"2018"|"A* - A(7-9)"|"92"|"20180908165922"|"AA00078"|""|"GCSE"
12|"2018"|"A* - B"|"99"|"20180908165941"|"AA00078"|""|"GCSE"
58|"2018"|"A*(8-9)"|"43"|"20181009151711"|"AA00078"|""|"GCSE"
12|"2018"|"A* - C(4-9)"|"100"|"20180908170006"|"AA00078"|""|"GCSE"
12|"2018"|"A*"|"34"|"20180908170023"|"AA00078"|""|"A Level"
