"school_id"|"financialyear"|"description"|"feetype"|"fee"|"payable"|"startdate"|"enddate"|"lastupdate"|"staffid"|"remarks"
282|"2013-14"|"Year 13"|"Course"|7176|""|""|""|"20130904172805"|"AA00025"|""
66|"2013-14"|"Year 11"|"Course"|7550|"Bolitho School"|""|""|"20130903154324"|"AA00025"|""
66|"2013-14"|"Year 12"|"Course"|8520|"Bolitho School"|""|""|"20130903154341"|"AA00025"|""
66|"2013-14"|"Year 13"|"Course"|8520|"Bolitho School"|""|""|"20130903154349"|"AA00025"|""
75|"2013-14"|"Year 7"|"Course"|7890|""|""|""|"20130903154827"|"AA00025"|""
75|"2013-14"|"Year 8"|"Course"|7890|""|""|""|"20130903154832"|"AA00025"|""
75|"2013-14"|"Year 9"|"Course"|7890|""|""|""|"20130903154838"|"AA00025"|""
75|"2013-14"|"Year 10"|"Course"|8820|""|""|""|"20130903154846"|"AA00025"|""
75|"2013-14"|"Year 11"|"Course"|8820|""|""|""|"20130903154852"|"AA00025"|""
75|"2013-14"|"Year 12"|"Course"|8820|""|""|""|"20130903154902"|"AA00025"|""
75|"2013-14"|"Year 13"|"Course"|8820|""|""|""|"20130903154907"|"AA00025"|""
76|"2013-14"|"Year 9"|"Course"|9795|"Brentwood School"|""|""|"20130903155317"|"AA00025"|""
76|"2013-14"|"Year 10"|"Course"|9795|"Brentwood School"|""|""|"20130903155325"|"AA00025"|""
76|"2013-14"|"Year 11"|"Course"|9795|"Brentwood School"|""|""|"20130903155331"|"AA00025"|""
76|"2013-14"|"Year 12"|"Course"|9795|"Brentwood School"|""|""|"20130903155336"|"AA00025"|""
76|"2013-14"|"Year 13"|"Course"|9795|"Brentwood School"|""|""|"20130903155343"|"AA00025"|""
88|"2013-14"|"Year 7"|"Course"|3200|"Burford School"|""|""|"20130903161800"|"AA00025"|""
88|"2013-14"|"Year 8"|"Course"|3200|"Burford School"|""|""|"20130903161806"|"AA00025"|""
88|"2013-14"|"Year 9"|"Course"|3200|"Burford School"|""|""|"20130903161812"|"AA00025"|""
88|"2013-14"|"Year 10"|"Course"|3200|"Burford School"|""|""|"20130903161823"|"AA00025"|""
88|"2013-14"|"Year 11"|"Course"|3200|"Burford School"|""|""|"20130903161831"|"AA00025"|""
88|"2013-14"|"Year 12"|"Course"|3200|"Burford School"|""|""|"20130903161836"|"AA00025"|""
88|"2013-14"|"Year 13"|"Course"|3200|"Burford School"|""|""|"20130903161844"|"AA00025"|""
113|"2013-14"|"Year 9"|"Course"|8225|""|""|""|"20130903164700"|"AA00025"|""
113|"2013-14"|"Year 10"|"Course"|8225|""|""|""|"20130903164705"|"AA00025"|""
113|"2013-14"|"Year 11"|"Course"|8225|""|""|""|"20130903164713"|"AA00025"|""
