"expo_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"eventremarks"|"regfee"|"payableto"
15|18|"20191024160923"|"AA00083"|"If you are Encouraged to Take Exam:

•Your consultant-in-charge will contact you very soon to make the exam arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•The school would like to see your UKiset score if you have taken the test, please submit the test result to your consultant-in-charge asap.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.


If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the interview day.
•The school would like to see your UKiset score if you have taken the test, please submit the test result to your consultant-in-charge asap.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|"Shared Booth with Sherborne School"|"500"|""
14|344|"20181228105254"|"AA00079"|""|""|"500"|""
24|593|"20230120123623"|"AA00079"|""|""|"800"|""
25|504|"20230617130945"|"AA00079"|""|""|"800"|""
12|655|"20181023192757"|"AA00032"|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please complete the school online Registration Form ASAP via the below link:
www.cognitoforms.com/ChristsHospital1/ChristsHospitalRegistrationFormInternationalApplicants
•Please inform your consultant-in-charge after completion of the online registration.
•Complete and return to your consultant-in-charge the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•Your consultant-in-charge will contact you very soon to make the exam arrangement.
•Please complete the school online Registration Form ASAP via the below link:
www.cognitoforms.com/ChristsHospital1/ChristsHospitalRegistrationFormInternationalApplicants
•Please inform your consultant-in-charge after completion of the online registration.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please complete the school online Registration Form ASAP via the below link:
www.cognitoforms.com/ChristsHospital1/ChristsHospitalRegistrationFormInternationalApplicants
•Please inform your consultant-in-charge after completion of the online registration.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
14|362|"20190226124338"|"AA00079"|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form from the link below.
•Complete the form and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•We will send you the exam details and timetable very soon.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the interview day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
25|265|"20230617131008"|"AA00079"|""|""|"800"|""
14|412|"20190226124346"|"AA00079"|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form from the link below.
•Complete the form and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•We will send you the exam details and timetable very soon.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the interview day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
24|30161|"20230203092917"|"AA00079"|""|""|"1800"|""
24|389|"20230128164523"|"AA00079"|""|""|"800"|""
14|457|"20181229151023"|"AA00079"|""|""|"500"|""
19|570|"20191123120656"|"AA00079"|""|""|"500"|""
24|430|"20230131111453"|"AA00079"|""|""|"800"|""
24|631|"20230207085718"|"AA00079"|""|""|"800"|""
25|36|"20230523160926"|"AA00079"|""|""|"800"|""
24|30190|"20230207085728"|"AA00079"|""|""|"1800"|""
24|30164|"20230207085738"|"AA00079"|""|""|"800"|""
21|342|"20201219105257"|"AA00079"|""|""|"500"|""
21|200|"20201219104816"|"AA00079"|""|""|"500"|""
21|554|"20201219105718"|"AA00079"|""|""|"500"|""
14|545|"20190226124354"|"AA00079"|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form from the link below.
•Complete the form and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•We will send you the exam details and timetable very soon.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the interview day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
19|480|"20191123120723"|"AA00079"|""|""|"500"|""
14|504|"20190226124413"|"AA00079"|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form from the link below.
•Complete the form and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•We will send you the exam details and timetable very soon.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the interview day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
19|258|"20191123120937"|"AA00079"|""|""|"500"|""
15|522|"20191023201919"|""|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form from the link below.
•Complete the form and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|"Shared Booth with Taunton School"|"500"|""
19|344|"20191227161435"|"AA00079"|""|""|"500"|""
24|13|"20230120123540"|"AA00079"|""|""|"800"|""
14|554|"20190226124440"|"AA00079"|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form from the link below.
•Complete the form and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Encouraged to Take Exam:

•We will send you the exam details and timetable very soon.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.

If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Please download the school Registration Form from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the interview day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
15|655|"20191024122347"|"AA00007"|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Complete the forms in the offer pack and send back to your Consultant-In-Charge if you decided to accept the offer.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.



If you are Invited for Interview before proceed further:

•Your consultant-in-charge will contact you very soon to make the arrangement.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form."|""|"500"|""
