"school_id"|"coursename"|"description"|"lastupdate"|"staffid"|"remarks"|"year"|"coursedate"|"name"|"subject"
4|"Year 10"|"3 Compulsory Papers"|"20130426150414"|"AA00028"|""|"2013-14"|"20130101"|""|""
4|"Year 12"|""|"20130426142335"|"AA00028"|""|"2013-14"|"20130101"|""|""
4|"Year 12"|"4 Compulsory papers and 2 Optional Papers"|"20130426151019"|"AA00028"|""|"2013-14"|"20130101"|""|""
593|"Year 10"|""|"20130815115945"|"AA00040"|""|"2014-15"|"20140901"|""|""
115|"Year 7"|""|"20130506164425"|"AA00028"|""|"2013-14"|"20130101"|""|""
16|"Year 9"|"For Sept 2012 Entry:

English (Year 9 & Year 10) (1hr) [21 Oct 2011]
Mathematics (Year 9 & Year 10) - YES Calculator (1hr30mins) [21 Oct 2011]
Verbal Reasoning (Moray House Adv. 10) (1hr = 15mins practice + 45mins test) [21 Oct 2011]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
16|"Year 9"|"3 Compulsory Papers"|"20130426153637"|"AA00028"|""|"2013-14"|"20130101"|""|""
16|"Year 10"|"For Sept 2012 Entry:

English (Year 9 & Year 10)  (1hr) [21 Oct 2011]
Mathematics (Year 9 & Year 10) - YES Calculator  (1hr30mins) [21 Oct 2011]
Verbal Reasoning (Moray House Adult 1) (45mins) [21 Oct 2011]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
16|"Year 10"|"3 Compulsory Papers"|"20130426154314"|"AA00028"|""|"2013-14"|"20130101"|""|""
16|"Year 12"|"For Sept 2012 Entry:

English (1hr30mins) [21 Oct 2011]
Cognitive Ability Test Level H - NO Calculator (1hr31mins)
- Verbal Reasoning (25mins)
- Quantitative (36mins)
- Non-Verbal Reasoning (30mins) [21 Oct 2011]
"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
16|"Year 12"|"2 Compulsory Papers"|"20130426154528"|"AA00028"|""|"2013-14"|"20130101"|""|""
533|"Year 12"|"For Sept 2012 Entry:

COMPULSORY!!! General Paper (1hr15mins) [3 Nov 2011]
plus
2 Subject Papers [3 Nov 2011]

Biology (1hr)
Chemistry (1hr) 
Economics (1hr)
Geography (1hr)
Maths - YES Calculator (1hr)
Physics (1hr)
Theatre Studies (1hr)
History (1hr)"|"20120806190415"|""|""|"2013-14"|"20130101"|""|""
533|"Year 12"|"1 Compulsory Papers and 2 Optional Papers"|"20130426180531"|"AA00028"|""|"2013-14"|"20130101"|""|""
9|"Year 9"|"For Sept 2012 Entry:

English (Test 5 Paper) - YES Dictionary  (1hr) [24 Sept 2010]
Mathematics (Paper 2) - NO Calculator & YES Dictionary (1hr) [24 Sept 2010]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
6|"Year 9"|"Ordinary Exam: 

For Sept 2013 Entry: 
Mathematics - NO Calculator (1hr) [23 Sep 2011]
English - NO Dictionary (1hr) [23 Sep 2011]
Verbal Reasoning Test D (50mins = 5mins practice + 45mins main test)  [27 Sep 2011]
Self-Appraisal Form [22 Sep 2010]

For Sept 2012 Entry: 
Mathematics - NO Calculator (1hr30mins) [23 Sep 2011]
English - NO Dictionary (1hr) [23 Sep 2011]
Verbal Reasoning Test E (50mins = 5mins practice + 45mins main test)  [27 Sep 2011]
Self-Appraisal Form [22 Sep 2010]

Academic Scholarships: sit another test in March: Eng, 2 Maths and 3 other subjects. 
ACADEMIC SCHOLARSHIP EXAM SEP10 ENTRY
Math I (need calculator) - 1.5 hrs, Math II (calculator is not allowed) -1.5 hrs, English - 1 hr 45 mins, Physics (need calculator)  - 30 mins, Chem (need calculator) - 30 mins, Biology (need calculator) - 30 mins, History - 1.5 hrs, Geography - 1.5 hrs,   Spanish - 1hr (25 Feb 10)
French - 1 hr, Latin, - 1.5 hrs,  Greek - 1 hr (24 Sep 09)

Lower Form Setting Papers June 2012:
Physics - YES Calculator (40 mins) [13 June 2012]
Chemistry  - YES Calculator (40 mins) [13 June 2012]
Biology  - YES Calculator (40 mins) [13 June 2012]
French - NO Dictionary (1 hr) [13 June 2012] 
Latin - NO Dictionary (1 hr) [13 June 2012]
Spanish (1 hr) [20 June 2012]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
6|"Year 9"|""|"20130426163846"|"AA00028"|""|"2013-14"|"20130901"|""|""
6|"Year 9"|""|"20130426164446"|"AA00028"|""|"2014-15"|"20140901"|""|""
6|"Year 10"|"For Sept 2012 Entry:

English (1hr30mins) [27 Sep 10]
Mathematics (1hr30mins) - NO Calculator, need squared papers [23 Sep 2011]
Moray House Verbal Reasoning Test Adv.10 (1hr = 15mins practice + 45mins main test) [27 Sep 10]
Self-Appraisal Form [22 Sep 2010]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
6|"Year 10"|""|"20130426164912"|"AA00028"|""|"2013-14"|"20130101"|""|""
6|"Year 10"|""|"20130426164921"|"AA00028"|""|"2013-14"|"20130901"|""|""
