"aa_id"|"event"|"school_id"|"eventsubject"|"qualification"|"piece"|"composer"|"eventscore"|"offer"|"piority"|"lastupdate"|"staffid"|"remarks"
"S012536"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S011245"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||" "|" "|" "|" "|" "|" "|0|"20130903004857"|"AA00007"|" "
"S011459"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S030202"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S012586"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S009256"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S010079"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121655"|"AA00007"|""
"S011983"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175526"|""|""
"S007316"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S007316"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S010013"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S008988"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S030390"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||" "|" "|" "|" "|" "|" "|0|"20130914162654"|"AA00020"|" "
"S010878"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914192807"|"AA00019"|""
"S012583"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"P"|0|"20130925182101"|""|""
"S012655"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914203220"|"AA00033"|""
"S012523"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"Y"|0|"20130925182101"|""|""
"S010184"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130915203745"|""|""
"S010907"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130916154625"|"AA00007"|""
"S012539"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130916154625"|"AA00007"|""
"S007070"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130831182211"|"AA00002"|""
"S007693"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S007693"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S011367"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"N"|0|"20131005152652"|"AA00007"|""
"S007693"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S011459"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130831182211"|"AA00002"|""
"S030220"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"N"|0|"20130924152623"|""|""
"S012649"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175719"|""|""
"S030305"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"N"|0|"20131005152652"|"AA00007"|""
"S030220"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130831183843"|"AA00002"|""
"S030304"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||" "|" "|" "|" "|" "|" "|0|"20130831183843"|"AA00002"|" "
"S012540"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175719"|""|""
"S012664"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175719"|""|""
"S006625"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175719"|""|""
"S007189"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"N"|0|"20130925175719"|""|""
"S012496"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130831183843"|"AA00002"|""
"S011993"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130831183843"|"AA00002"|""
"S009669"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009205"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914162654"|"AA00020"|""
"S012002"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175719"|""|""
"S030282"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175719"|""|""
"S009182"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175719"|""|""
"S006995"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175719"|""|""
"S009188"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175719"|""|""
"S030379"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"N"|0|"20130925182101"|""|""
"S004370"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130915203745"|""|""
"S030390"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||" "|" "|" "|" "|" "|" "|0|"20130915203745"|""|" "
"S030222"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130830203832"|"AA00020"|""
"S012539"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||" "|" "|" "|" "|" "|" "|0|"20130831111021"|"AA00007"|" "
"S011910"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130831111021"|"AA00007"|""
"S009942"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S008816"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S011983"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130831111021"|"AA00007"|""
"S030221"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130916154625"|"AA00007"|""
"S012645"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130916154625"|"AA00007"|""
"S030313"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130916154625"|"AA00007"|""
"S011770"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"N"|0|"20131005152652"|"AA00007"|""
"S009205"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"N"|0|"20131005152652"|"AA00007"|""
"S009100"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"N"|0|"20131005152652"|"AA00007"|""
"S012664"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130831123010"|"AA00002"|""
"S009960"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S001552"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S001552"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S001552"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S001552"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S010030"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S030354"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|"Y"|0|"20130925182101"|""|""
"S005152"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S005152"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009116"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009695"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009695"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009695"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009695"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009595"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009595"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009595"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
