"aa_id"|"case"|"pickupby"|"flightno"|"airline"|"arrivalairport"|"arrivaldate"|"arrivaltime"|"predepart"|"joininst"|"lastupdate"|"staffid"|"remarks"|"journeyno"|"route"
"S011517"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714105131"|"AA00032"|""|238|1
"S031400"|"Y"|"School"|""|""|""|"20140712"|""|""|""|"20140726154741"|"AA00032"|"voicemail on 26July"|169|1
"S031070"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714105254"|"AA00032"|""|243|1
"S031310"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714110123"|"AA00032"|""|258|1
"S031043"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714111058"|"AA00032"|""|276|1
"S012282"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714112921"|"AA00032"|""|305|1
"S031070"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140726155726"|"AA00032"|"voicemail on 26July"|243|1
"S030215"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714113605"|"AA00032"|""|312|1
"S031127"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714115338"|"AA00032"|""|341|1
"S012525"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140714115409"|"AA00032"|""|343|1
"S012343"|"Y"|"WHG"|""|""|""|"20140714"|""|""|""|"20140714115530"|"AA00032"|""|349|1
"S007710"|"Y"|"School"|"Cathay Pacific CX257"|""|"London Heathrow T3"|"20140714"|"1500"|""|""|"20140726101511"|"AA00032"|""|221|1
"S011666"|"Y"|""|"Virgin Atlantic VS201"|""|"London Heathrow T3"|"20140829"|""|""|""|"20140712120523"|"AA00032"|""|103|1
"S031158"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140830"|"0535"|""|""|"20140712144306"|"AA00032"|""|165|1
"S031310"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140726160017"|"AA00032"|"voicemail on 26July"|258|1
"S030678"|"Y"|"School"|"Emirate EK0017"|""|"Manchester T1"|"20140831"|"1155"|""|""|"20140711150817"|"AA00032"|""|34|1
"S007454"|"Y"|"School"|"Cathay Pacific"|""|"London Heathrow T3"|"20140901"|""|""|""|"20140714115653"|"AA00032"|""|195|1
