"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
592|"2013"|"A* - B"|"37.6"|"20140709125918"|"AA00025"|""|"A Level"
592|"2013"|"A* - A"|"14.9"|"20140709125940"|"AA00025"|""|"A Level"
592|"2013"|"A* - B"|"64.5"|"20140709125951"|""|""|"A Level"
322|"2013"|"A* - A"|"97.8"|"20140813100141"|"AA00025"|""|"GCSE"
457|"2013"|"A* - B"|"75"|"20140822154314"|"AA00025"|""|"A Level"
1|"2014"|"A*"|"32.7"|"20140823152509"|"AA00032"|""|"A Level"
1|"2014"|"A*"|"32.7"|"20140823152652"|"AA00032"|"Hit records again this year with almost 33% A*'s"|"A Level"
1|"2014"|"A*"|"32.7"|"20140823153746"|"AA00032"|"Hit records again with almost 33% A*'s"|"A Level"
376|"2013"|"A* - A"|"81"|"20140830124030"|"AA00025"|""|"A Level"
376|"2013"|"A* - A"|"80"|"20140830124059"|"AA00032"|""|"A Level"
376|"2014"|"A* - A"|"80.37"|"20140830124219"|"AA00032"|""|"A Level"
413|"2014"|"A* - A"|"52.9"|"20140830160451"|"AA00032"|""|"A Level"
3|"2014"|""|"37.1"|"20140830174304"|"AA00044"|""|"IB"
21|"2014"|"A* - A"|"88.1"|"20140906170442"|"AA00032"|""|"GCSE"
21|"2014"|"A* - A"|"88.1"|"20140906170558"|"AA00032"|"[The Telegraph - GCSE results 2014: Independent schools table]
87.84%"|"GCSE"
21|"2014"|"A*"|"44.47"|"20140906170606"|"AA00032"|""|"GCSE"
21|"2014"|"A* - A"|"88.1"|"20140906170632"|"AA00032"|"[The Telegraph - GCSE results 2014: Independent schools table]: 87.84%"|"GCSE"
21|"2014"|"A*"|"44.47"|"20140906170701"|"AA00032"|"[The Telegraph - GCSE results 2014: Independent schools table]"|"GCSE"
154|"2014"|"A* - A"|"86.68"|"20140906172700"|"AA00032"|"[86.68% - The Telegraph - GCSE results 2014: Independent schools table]"|"GCSE"
154|"2014"|"A*"|"53.84"|"20140906172729"|"AA00032"|"[53.84% - The Telegraph - GCSE results 2014: Independent schools table]"|"GCSE"
345|"2014"|"A* - A"|"86.53"|"20140906173705"|"AA00032"|"[86.53 - The Telegraph - GCSE results 2014: Independent schools table]"|"GCSE"
345|"2014"|"A*"|"53.3"|"20140906173730"|"AA00032"|"[53.3% - The Telegraph - GCSE results 2014: Independent schools table]"|"GCSE"
130|"2014"|"A*"|"56.11"|"20140906175614"|"AA00032"|"[56.11% - The Telegraph - GCSE results 2014: Independent schools table]"|"GCSE"
130|"2014"|"A* - A"|"86.19"|"20140906175642"|"AA00032"|"[86.19% - The Telegraph - GCSE results 2014: Independent schools table]"|"GCSE"
